scenario,scheduler,run_idx,total_throughput_bps,avg_delay_sec,fairness,congestion_avg_throughput_bps,normal_avg_throughput_bps,empty_avg_throughput_bps,mean_active_users_per_slot,mean_requested_rb_per_slot,mean_allocated_rb_per_slot,mean_unserved_users_per_slot
normal_heavy,RR,9,6116610.783143828,3.3657362647073734,0.9494411734072159,93706.45415087442,118816.66666666667,59561.1111111111,59.85,289.2966666666667,12.0,47.85
normal_heavy,RR,10,6334876.473704206,2.741332636608876,0.9590722073670283,91954.31403708734,118926.82926829268,59925.92592592593,59.84,249.84666666666666,12.0,47.84
normal_heavy,RR,11,5962632.085103528,2.794016125429185,0.9366064955601734,96532.88963757543,119224.60359003252,58979.16666666667,59.81,248.52333333333334,11.996666666666666,47.81333333333333
normal_heavy,RR,12,6012380.796241849,4.614211155938007,0.9492393844198319,94875.93284386524,119045.91197514423,59088.8888888889,59.836666666666666,381.12333333333333,12.0,47.836666666666666
normal_heavy,RR,13,6170823.8666625945,3.1480074032017815,0.9499109030722312,96219.54169401749,119481.18610188106,59572.22222222222,59.86,286.0733333333333,12.0,47.86
normal_heavy,RR,14,6369160.678725402,1.6310995305329625,0.9539592238505932,95504.55756534473,119565.89147286821,59527.27272727273,59.88333333333333,172.57666666666665,11.996666666666666,47.88666666666666
normal_heavy,RR,15,6364213.721076757,2.7629680306429067,0.9595340033304092,92561.37210767568,119393.49593495934,60385.18518518518,59.89333333333333,252.00333333333333,12.0,47.89333333333333
normal_heavy,RR,16,5789058.17657652,3.4365891382650062,0.9323266771693236,95214.0588368413,119129.64901781415,59588.88888888889,59.806666666666665,287.59,12.0,47.806666666666665
normal_heavy,RR,17,6145049.702515559,4.637547073768033,0.9544500800663054,94884.00938030575,119422.8750419302,59106.66666666667,59.876666666666665,383.4433333333333,12.0,47.876666666666665
normal_heavy,RR,18,6036718.7372839525,4.506302793178001,0.9478744434515053,92568.26937488103,119892.49251934966,59922.222222222226,59.86,365.43666666666667,12.0,47.86
normal_heavy,RR,19,5859187.345449032,3.4374762838424573,0.9355285488087349,94798.945454086,119453.76344086022,59913.72549019608,59.83,287.07,12.0,47.83
normal_heavy,RR,20,6100569.358024127,3.217248332381665,0.9461111061064006,96036.33539089937,119377.14285714286,59225.64102564103,59.83,285.50666666666666,12.0,47.83
normal_heavy,RR,21,6300075.776548657,4.015130768429154,0.9620552109953348,94805.17243460055,118981.93306386433,59458.33333333333,59.86666666666667,345.62666666666667,12.0,47.86666666666667
normal_heavy,RR,22,6040334.413611337,3.3004074612492524,0.9438433745219398,95700.0900231669,119264.70588235294,59780.95238095238,59.833333333333336,286.5966666666667,12.0,47.833333333333336
normal_heavy,RR,23,5888237.791989245,5.351552808711409,0.9473137884024498,93168.1500376294,119201.53361693882,60030.76923076924,59.836666666666666,421.73,12.0,47.836666666666666
normal_heavy,RR,24,6072557.149343765,3.642691725251312,0.9460815518268028,94662.4513327894,119582.70437306384,59702.56410256411,59.803333333333335,309.07,12.0,47.803333333333335
normal_heavy,RR,25,6280617.9025005605,3.976059095417232,0.9603697832559347,92654.52683337074,119385.58558558559,59191.666666666664,59.88333333333333,345.37333333333333,12.0,47.88333333333333
normal_heavy,RR,26,6319901.161856349,3.102204883538321,0.960072962681872,94286.20793247347,119124.78632478636,60288.88888888889,59.89666666666667,286.91,12.0,47.89666666666667
normal_heavy,RR,27,6109530.806561516,2.5117658091339923,0.9451031425875387,94244.16369202021,119309.90990990991,60490.47619047619,59.86333333333334,229.41333333333333,12.0,47.86333333333334
normal_heavy,RR,28,6400810.485437405,4.205154332156992,0.9687775944726328,94415.79060387818,119263.80269584268,59688.88888888888,59.92,365.33666666666664,12.0,47.92
normal_heavy,RR,29,6224759.662453162,2.2250961558107374,0.9502445456904643,93726.37779181529,118883.716002966,59966.666666666664,59.876666666666665,211.33,12.0,47.876666666666665
normal_heavy,MaxThroughput,0,1373788.8150694594,69.74059475309015,0.3967176805810141,0.0,20368.207826003505,58230.303030303025,59.92666666666667,844.8666666666667,1.6633333333333333,58.92666666666667
normal_heavy,MaxThroughput,1,1211528.0575369354,81.74924547300937,0.33143123326020757,0.0,16291.277834388631,58303.0303030303,59.96,861.83,1.5466666666666666,58.96
normal_heavy,MaxThroughput,2,1612085.8798864353,53.688833649398966,0.47605829722542575,0.0,22040.158915849606,56900.0,59.95666666666666,787.3366666666667,1.8166666666666667,58.95666666666666
normal_heavy,MaxThroughput,3,1761193.564324938,51.944364196477636,0.47651963496759453,0.0,30899.83064012994,58700.0,59.96,822.7633333333333,1.95,58.96
normal_heavy,MaxThroughput,4,1947304.7372425322,48.75738264627687,0.4963318119762383,0.0,40541.35273445261,58104.7619047619,59.943333333333335,841.5833333333334,2.1266666666666665,58.943333333333335
normal_heavy,MaxThroughput,5,1566366.0135409683,55.88929260326855,0.4690841075932435,0.0,20682.389265026894,58700.0,59.96333333333333,785.67,1.7733333333333334,58.96333333333333
normal_heavy,MaxThroughput,6,1302644.0889924346,75.15994089586059,0.36141137774527293,0.0,18619.743212752815,57484.84848484849,59.93333333333333,855.3933333333333,1.6466666666666667,58.93333333333333
